n;d;t;c
500;0.00022426260827940192;474930;6277
500;0.0004463436528979736;521878;6395
500;9.605300561654762e-06;500809;6430
500;0.00019408616086574737;491070;6477
500;5.406800102114584e-05;514514;6458
500;0.00020120156486869156;496170;6444
500;6.959264212214045e-05;467557;6382
500;4.751748128806188e-05;502552;6245
500;3.80891654173654e-05;464370;6410
500;0.0003045175740158945;477936;6337
500;0.00018429346202797348;784962;6207
500;0.00028423886656603337;467627;6046
500;0.0002124387013829887;498965;6535
500;0.00017089638389711226;471865;6251
500;7.09148748179178e-05;503534;6192
500;6.487829701962156e-05;449793;6136
500;0.0001130706959842076;491411;6537
500;1.2916727795131422e-05;469991;6286
500;2.801893964254898e-05;492914;6475
500;4.366388582310865e-05;466134;6364
500;7.135128431812188e-05;451727;6141
500;4.815435490651554e-05;487704;6368
500;3.469369588743332e-05;466164;6371
500;0.00015852778579256155;493806;6544
500;1.3391661962458556e-05;473097;6211
500;5.864820186496367e-06;529703;6515
500;4.7654357866799835e-05;466474;6307
500;6.902975424205593e-05;497293;6414
500;2.4072607662239953e-05;672191;6329
500;7.86762091501414e-05;632571;6344
500;4.526210986988133e-05;481623;6346
500;0.00020464590568358698;477625;6388
500;0.0002192675311070147;470653;6231
500;3.710241805343628e-05;469580;6394
500;1.2720125822540673e-05;478187;6346
500;9.252735686210434e-05;463529;6328
500;0.00023664389177491252;483516;6382
500;0.00011176919021271825;482224;6329
500;3.526854934737811e-05;476363;6294
500;0.0001721076855327741;471715;6411
500;4.764740890295105e-05;472657;6240
500;8.599727036778804e-05;465162;6339
500;0.00021654523810965554;472727;6157
500;2.8846721626007987e-05;477165;6472
500;0.0003341519304908558;564538;6474
500;6.587355532605699e-06;471274;6434
500;0.00019727216677978276;480331;6384
500;3.3922363325777916e-05;789169;6307
500;3.8839947156477095e-05;471033;6395
500;0.00022422543870498357;458079;6208
500;9.393258697421025e-05;485300;6386
500;0.00014730020268671762;472445;6401
500;0.00026959308325136266;486462;6396
500;0.00022587337189361456;457638;6205
500;0.00012212163962188605;493585;6275
500;9.603732233659512e-05;513853;6542
500;0.00010681209983931517;462647;6137
500;0.00010999511696829778;469490;6384
500;0.0001462127235807298;490911;6526
500;1.1198736053597003e-05;462938;6295
500;7.101929129782469e-06;477064;6285
500;6.127670192257462e-06;470232;6412
500;5.158960895035314e-06;486943;6405
500;0.00015992988937973962;490820;6546
500;0.00013693759398336613;477335;6298
500;3.087545031754679e-05;751039;6367
500;0.0001360106959457097;457337;6078
500;2.6906812320537377e-05;481513;6374
500;8.912278526035378e-05;458510;6197
500;0.00017822864886984924;468027;6152
500;0.0002243620940346469;472947;6451
500;8.454088450071673e-06;475432;6230
500;3.923269004785235e-05;476213;6473
500;5.212118323205672e-05;513332;6470
500;0.00010094071609179078;469721;6416
500;0.00016312988667122053;492683;6381
500;0.0001362666472408125;460423;6235
500;0.00015770326566744153;481893;6407
500;0.0001050281089217675;462337;6263
500;2.179925042644637e-05;463329;6360
500;4.788268875621782e-06;484257;6409
500;0.00012856913624381683;466214;6298
500;1.79879131303462e-05;471343;6278
500;4.519888218468271e-05;506440;6381
500;0;834840;6398
500;0.0001920816255754354;479800;6280
500;1.764330732811903e-05;467055;6361
500;0.00010651568462188843;517590;6361
500;0.0006092014318441752;459160;6237
500;5.2420311091538885e-05;482755;6356
500;0.00014109150282792804;461245;6237
500;3.671467067989376e-05;490900;6444
500;6.988798251694739e-05;463018;6343
500;0.00010082901558505775;489458;6423
500;0.00027284714022446366;462768;6279
500;8.818142434618981e-05;481452;6253
500;3.858374997289804e-05;463830;6359
500;1.3349130500772688e-05;484588;6333
500;0.00013697872370410646;458419;6247
500;0.00019488688987845393;493786;6245
