n;d;t;c
500;3.1163771266953376e-06;177263;884
500;2.278753530389303e-06;141335;868
500;5.021417398442466e-06;148008;861
500;2.259508741635471e-07;140644;867
500;1.2927042299744639e-06;136576;841
500;2.2254255530131508e-06;139812;862
500;2.8673513105221395e-06;156333;879
500;2.3196293851296617e-06;144330;890
500;3.768737879776225e-06;156664;849
500;3.3459091322694506e-06;143619;857
500;1.3076820198252675e-06;138850;851
500;2.0747833679860175e-07;139581;868
500;1.4392954118339989e-07;139040;872
500;6.175907857629465e-07;236935;890
500;4.171116661778426e-06;145283;898
500;7.400794710982031e-06;142828;885
500;2.072333846173014e-06;138279;855
500;2.9987867798104623e-06;143560;894
500;9.845172597749288e-06;139431;861
500;1.1631611158466421e-05;145523;873
500;3.97366253051036e-06;146876;859
500;2.4199337066907164e-06;139571;873
500;1.2538037176315099e-05;139341;859
500;4.076280317365402e-06;136486;826
500;1.1582363228927232e-06;140944;873
500;9.80712325501191e-07;152106;844
500;1.5234765482993867e-06;138289;859
500;1.3426198315971344e-06;138910;872
500;4.042209418327783e-06;143058;900
500;2.9895763515526653e-06;138871;856
500;1.6207776902297112e-05;139321;853
500;1.1284155576884932e-07;155301;889
500;5.166814006464137e-06;138259;831
500;8.844903525905889e-07;142327;865
500;2.7741535229204883e-06;139622;860
500;3.604667110574003e-06;139191;856
500;4.49497729677654e-07;138180;841
500;7.629302306591292e-06;153748;870
500;2.5905701787871992e-06;153678;874
500;2.962143581183774e-07;148278;861
500;7.866293589062927e-07;139832;879
500;7.902005086581646e-06;140283;873
500;2.5573504811966325e-06;141826;884
500;8.054405976369854e-07;138109;847
500;1.1308830702489255e-07;154570;858
500;1.4731203594206723e-06;144010;883
500;7.101224960083252e-06;138109;861
500;7.7361574380916e-07;140483;871
500;1.1851131688976663e-05;138600;862
500;8.030011742033492e-06;138670;870
500;1.982559226276854e-06;137418;847
500;1.332839561440322e-06;154590;864
500;4.288476108746702e-06;141435;876
500;2.333776353569041e-06;142236;895
500;4.598462805120457e-07;137378;836
500;9.65990228739992e-07;133470;816
500;5.971676544809206e-06;137317;851
500;7.155493427002901e-06;154069;875
500;1.0415938061261123e-06;143238;893
500;6.192975744434171e-06;138981;844
500;9.704731279168294e-07;141315;874
500;1.4352722498441951e-05;138109;866
500;3.452103507158511e-06;141756;876
500;1.2277956031873216e-07;148348;857
500;2.75853488059904e-06;153207;848
500;9.989901662199543e-07;141285;854
500;9.351036919187281e-07;149320;855
500;1.6835626048151849e-06;138700;838
500;6.176675281298059e-06;140153;869
500;1.2396336300909563e-05;139752;870
500;1.916281177879015e-06;161052;863
500;2.3163421581488673e-06;141024;859
500;3.883613309293639e-06;138931;855
500;1.8528148614187975e-06;141626;877
500;7.557340382027687e-07;137808;844
500;9.141981459919517e-06;138560;846
500;9.789010850539258e-07;147246;876
500;1.1356845634809428e-06;141295;831
500;4.571945351552205e-06;142688;870
500;5.038284041629457e-06;139482;856
500;1.8010058575880683e-06;136095;833
500;2.390076714193655e-06;139001;870
500;1.7968680104084506e-06;136576;846
500;1.7987176738443462e-06;158006;892
500;1.4234999915465536e-06;138299;831
500;3.3394544900222637e-06;137167;847
500;1.9120743823657085e-06;138791;855
500;9.508141058303677e-07;136556;848
500;3.935168663981126e-06;138169;853
500;1.9710266890520667e-06;151324;847
500;2.0354185091512997e-07;140083;867
500;1.5707580461554997e-06;137699;845
500;1.8513318239925594e-06;155652;873
500;4.6918951747410364e-07;140383;870
500;4.24197816239191e-07;137448;848
500;2.067877571132503e-06;152626;871
500;3.4948260363497513e-06;155792;875
500;6.82496353224933e-07;141124;868
500;3.046245139397005e-07;138249;870
500;1.612858689671501e-06;141335;884
500;4.1063847185947236e-07;395661;868
500;5.88315913743254e-06;140474;884
500;2.254331285760486e-06;141205;865
500;2.164624394942717e-06;138861;870
500;2.385517619607367e-07;149741;845
500;5.070131666429705e-07;142226;870
500;5.161463536527301e-06;139642;868
500;3.3411523890276445e-06;153498;867
500;6.397096725287265e-06;142567;872
500;4.535632887799138e-06;137538;838
500;3.2438850809019555e-06;140243;861
500;2.2931934707020387e-07;139331;863
500;1.1533595668076714e-06;138680;873
500;1.4721562717800447e-06;161342;879
500;8.640059935826706e-07;187050;887
500;3.9979307625717746e-07;139762;836
500;1.1218805471971286e-06;139482;878
500;2.6667933998350317e-06;139772;856
500;1.1333107351188306e-06;140052;869
500;2.6921758939349563e-07;150973;847
500;8.18108579975399e-06;139411;860
500;1.6878933250570985e-06;140884;884
500;4.73705201280543e-06;138960;874
500;8.247695316337133e-06;138820;860
500;1.356419447539824e-05;139111;864
500;2.979049954775386e-06;139762;871
500;5.3060945432866945e-06;178034;867
500;3.963664080776517e-06;146014;836
500;1.4227336265913035e-06;153698;857
500;1.6075911504168393e-05;157224;908
500;1.2457107667574659e-06;153297;874
500;1.988690011597444e-06;156293;896
500;2.7901321816333705e-06;174127;877
500;1.2256377293457124e-07;141886;864
500;1.2115078601552634e-06;138119;866
500;5.992826359636596e-06;137398;853
500;4.095189730601837e-06;136486;853
500;8.624459050073396e-06;136196;840
500;1.7839808010215232e-06;153357;885
500;1.3436367434284419e-06;172574;896
500;1.331836211596645e-06;137428;837
