n;d;t;c
500;1.0363396234827258e-06;162746;910
500;1.5615365639468197e-06;165831;936
500;0;139922;897
500;6.529297916246229e-06;146425;931
500;2.097917644069367e-07;140994;882
500;2.7219737700764264e-06;141164;903
500;7.154195781357999e-06;145733;945
500;0;155982;909
500;3.925490318886181e-06;143189;924
500;1.990352387604823e-06;149360;883
500;7.502882184672158e-06;140283;897
500;7.137912950080178e-07;138560;878
500;0;139211;887
500;6.675627536051382e-06;161072;944
500;2.030332600291951e-06;177603;887
500;0;142257;903
500;5.476361333151265e-07;143670;911
500;8.660748614383583e-08;141215;923
500;1.229544629104438e-06;153548;942
500;0;157365;877
500;1.6017786523980493e-06;143880;902
500;1.0354350364208071e-06;143239;905
500;3.9953815669919155e-06;143118;935
500;0;145282;956
500;9.290147800101826e-07;157034;928
500;8.393447728989835e-07;142347;885
500;4.061059137314351e-07;139561;882
500;0;140964;885
500;5.6797190339477395e-08;143078;931
500;2.6746347566120656e-06;161292;941
500;5.277114396393721e-07;145202;933
500;4.499895839570843e-06;146785;945
500;0;145343;925
500;0;137688;884
500;1.5098710451678267e-07;139441;887
500;6.465400534390995e-06;167234;943
500;5.52976221334026e-06;143709;917
500;1.8507677301988894e-06;141595;919
500;3.32390162242275e-06;137547;862
500;4.828948910329669e-07;145794;946
500;8.003594744009827e-07;141856;902
500;4.164315739602136e-07;159569;927
500;8.351891777063617e-06;142778;901
500;0;141856;915
500;3.2803357641375805e-06;148128;889
500;5.591580075250833e-06;142788;918
500;4.792576029020649e-06;144601;927
500;0;155712;890
500;2.185994150901676e-07;144220;934
500;4.134951644227521e-06;142898;904
500;2.0869282797391324e-08;139161;882
500;5.247074345312242e-06;142587;908
500;8.857319941796304e-06;139792;894
500;8.997728731606749e-08;164809;909
500;8.502592929381325e-07;166492;870
500;3.735526085398111e-07;144551;901
500;8.06800371358207e-06;140263;897
500;0;141816;896
500;7.0267582194777735e-06;150052;904
500;0;156353;893
500;3.329738521596617e-06;139782;872
500;0;136015;859
500;2.070793605357184e-06;149450;896
500;2.6754594783668904e-06;137197;859
500;4.0276081674755724e-06;140593;896
500;2.6515494942155413e-07;156493;894
500;7.237251352970008e-07;144511;903
500;1.0380343959674376e-06;140895;903
500;8.520397253670032e-07;140343;898
500;7.708720084114838e-08;143048;926
500;0;140133;896
500;5.661854331097347e-07;318010;920
500;1.5474994264206269e-06;149290;940
500;7.3590883229703476e-06;145273;914
500;2.7700603665691066e-06;139822;888
500;1.7309177705177297e-07;141155;905
500;1.8908078478616101e-06;162410;884
500;1.5178991592228266e-07;146434;926
500;2.3555691224247806e-06;144521;895
500;9.85662076209837e-07;146755;943
500;5.819032176466547e-06;146585;857
500;5.724655445303716e-06;159228;929
500;2.122766636526372e-06;143759;909
500;3.3867068654228655e-06;151153;945
500;1.0923845359835503e-06;141556;907
500;3.662318396618785e-06;138309;876
500;6.329847217781995e-08;142808;910
500;9.92752905534194e-06;178525;936
500;0;140203;878
500;1.337078190049025e-08;147647;900
500;2.9980962018963403e-07;139912;894
500;7.196045651813337e-07;145202;920
500;7.199528492957574e-06;145042;936
500;0;156704;906
500;4.520490028443648e-09;143148;885
500;2.8098960308148806e-06;140103;881
500;4.1131023463246213e-07;140033;892
500;0;142136;901
500;4.772340725900047e-06;392817;895
500;5.650095501606995e-06;144441;929
500;1.7181413542824501e-06;157345;918
500;5.404214297177507e-07;145012;877
500;1.498327747140048e-06;139671;894
500;2.011185761731049e-06;152667;862
500;0;146024;884
500;6.28349992979274e-06;140954;890
500;0;140413;882
500;4.2177046765698015e-06;140954;891
500;4.13514346002822e-06;146104;945
500;1.9824391776875363e-07;158928;897
500;3.2627276702362344e-06;141305;881
500;1.6511551658989305e-06;145263;913
500;6.811278479007276e-07;144060;930
500;6.026529205095111e-07;142548;923
500;1.932302764844918e-08;140343;895
500;0;157806;891
500;2.124168065066629e-06;140684;868
500;7.208894068309839e-06;139071;872
500;0;1506674;910
500;9.527683517630664e-07;380453;942
500;3.4652240328741627e-07;146124;923
500;4.852466477612922e-06;144361;899
500;4.525962796613248e-07;142547;892
500;3.931046116734041e-06;157986;896
500;1.95500590300253e-06;146825;930
500;5.0071171021282555e-06;141996;897
500;4.555852980791863e-07;145933;918
500;6.033643824735937e-08;141435;889
500;5.151422309527502e-06;143279;915
500;3.0534066108597883e-06;140693;869
500;3.6659083529298547e-06;161102;919
500;0;143148;907
500;1.981689110364764e-07;141656;876
500;1.6713268733644552e-06;142017;912
500;2.2145872275336836e-06;149420;906
500;9.305613847899179e-06;140343;882
500;1.7053074678139937e-07;158938;906
500;5.1875983137498616e-06;143950;888
500;1.3481106289603745e-06;137888;843
500;0;141926;888
500;1.0633915851922895e-08;142096;896
500;7.484523030389049e-07;148158;953
500;5.220449511667707e-07;158427;899
500;3.1262040673239404e-06;148088;922
500;1.588588158162105e-06;169097;879
500;0;140103;866
500;1.831035162269204e-06;142548;905
500;1.0378248936882378e-06;142176;888
500;0;146976;936
500;1.0383214837887607e-06;188984;927
500;0;143319;900
500;1.989016080827172e-06;146444;924
500;8.269648428535809e-06;146604;882
500;6.187174043382088e-06;145644;914
500;1.7947921887881978e-07;140494;877
500;1.8159784872948118e-06;187236;890
500;6.542747471205068e-07;145173;920
500;9.48729009257554e-06;139632;877
500;1.924437340388981e-06;141245;879
500;1.180271050059819e-05;143940;916
500;6.284946451181417e-06;144291;921
500;3.934652788256094e-07;155361;880
500;7.556597615097129e-07;144491;911
500;8.243996682622055e-07;142878;908
500;2.077378542305218e-07;141075;897
500;1.6282224352481132e-06;143539;896
500;5.376373741308132e-06;149330;967
500;2.980696369959584e-06;153588;878
500;2.0481279237602185e-06;145133;921
500;0;141675;897
500;0;142807;904
500;1.247548154833041e-05;153908;894
500;3.837658964362598e-06;144972;908
500;1.6542934447998307e-07;138590;874
500;0;154710;903
500;1.9118525016857395e-06;144191;905
500;1.0321262556828785e-06;144731;906
500;6.429779981291391e-06;139261;890
500;9.747351407817576e-07;140404;895
500;1.051050148082906e-07;140153;886
500;6.500663063353589e-07;158167;926
500;0;175129;874
500;1.2589775955420113e-05;143308;893
500;9.384011223592171e-07;143248;920
500;3.070237229459549e-06;142457;897
500;7.523442915038749e-08;143038;912
500;1.6904193729429746e-06;154250;899
500;2.028231088325165e-06;140473;869
500;3.3065799705097557e-06;143880;932
500;3.942739777461131e-06;146184;933
500;6.0602923582580476e-06;142117;899
500;3.7407166431519304e-07;142547;920
500;2.0489303721839597e-07;142817;916
500;7.644631361996616e-07;160100;928
500;5.431726465692646e-07;140403;882
500;7.225965159068922e-06;140694;905
500;1.7646091849456675e-06;147697;961
500;5.689220271599849e-06;144521;935
500;6.111286895583533e-07;140674;876
500;4.09599166305983e-07;162935;974
500;6.565470499445481e-07;148539;884
500;3.395946020601292e-08;141465;917
500;4.815792091172327e-07;139382;885
500;2.145099694607851e-06;138590;861
500;3.2311501508623687e-07;141095;901
500;2.829918108608513e-06;141526;896
500;2.1806733485944757e-06;157525;908
500;0;141705;891
500;6.608495492347472e-07;139592;881
500;1.1751880867348003e-05;140203;895
500;0;141896;880
500;4.698548703481917e-06;142857;915
500;5.946000850909741e-08;160190;919
500;2.9611946809149204e-06;147316;953
500;8.076786552451448e-07;142357;899
500;1.2020230134863664e-06;142708;896
500;6.624387507511705e-06;142577;883
500;5.221164452080043e-06;144390;923
500;4.740437378256178e-06;156283;912
500;3.2498011467826143e-06;146234;920
500;3.411720153022042e-06;142147;915
500;0;143278;919
500;1.0008757289043164e-06;146144;947
500;5.335186972323421e-07;137638;870
500;3.998436885920611e-06;142427;911
500;1.0469578088335435e-08;160370;901
500;8.37793750366205e-06;148108;954
500;1.8316086668792167e-06;142307;922
500;4.851078168138597e-06;142718;908
500;3.5932639126599186e-07;138470;875
500;3.6209917105231326e-06;142868;901
500;1.099728381813313e-06;158507;939
500;6.063946685892071e-07;143830;909
500;1.4454759915782169e-06;143860;917
500;1.0301221750516826e-05;140123;881
500;1.4412865912083826e-06;143970;919
500;1.4694838907063622e-06;141064;903
500;2.8452868613007723e-07;142296;898
500;1.3357947230975852e-06;145984;920
500;2.2400141141781042e-06;146695;924
500;8.47880159635847e-07;140504;883
500;6.92032307191376e-07;140744;891
500;0;142948;915
500;7.320456162083574e-06;144561;890
500;3.695007067778602e-06;183093;916
500;1.5404270349207372e-06;151534;878
500;5.1842433193735555e-06;146655;919
500;2.741264652533276e-06;141105;896
500;3.292968955870533e-07;238167;937
500;2.204558586011264e-06;307947;936
500;3.250740161390566e-06;150823;931
500;7.81278237291154e-07;142407;920
500;0;143539;924
500;1.9629807527212576e-06;142918;921
500;0;168236;918
500;4.500143463026786e-06;148408;950
500;9.607397076395646e-07;140393;885
500;3.683042351927317e-08;143509;904
500;1.3253825908614916e-07;156092;914
500;0;144280;902
500;1.7511708351541348e-06;155562;895
500;4.4405177263648885e-06;142687;871
500;5.641804980433931e-06;144962;924
500;1.2173443626344814e-06;142216;884
500;3.6967836407559416e-06;143690;920
500;4.495886764612688e-06;140644;903
500;2.162019432064812e-06;145793;918
500;3.5635114964333044e-06;155471;891
500;4.361658450833642e-06;145273;911
500;0;140674;891
500;6.38982481666852e-07;141475;910
500;2.407085709373071e-06;141506;887
500;2.174576854230685e-06;145092;939
500;2.0987838005137355e-06;154760;889
500;1.5174846429270194e-06;144591;881
500;3.112749810319506e-07;141004;902
500;6.504581773599245e-07;144972;938
