n;d;t;c
500;1.8531432286714957e-07;148348;860
500;2.8946470207689146e-06;145313;901
500;7.314473413830117e-07;143459;879
500;6.714509363219011e-07;141856;866
500;0;166753;890
500;0;137989;834
500;9.038362968748086e-06;149380;891
500;0;144761;896
500;0;140934;872
500;0;140263;852
500;1.007437289491395e-05;157185;868
500;8.836423334854372e-07;148448;838
500;1.5264874866597589e-06;137208;824
500;0;140924;890
500;7.91439275605846e-07;140894;875
500;0;141946;896
500;3.2286849762431076e-06;141124;891
500;1.2435251301484791e-07;161032;879
500;2.10115937333775e-06;141265;865
500;1.6629988185980037e-06;138379;845
500;6.253085647867908e-06;142608;879
500;1.6453742179868606e-06;490766;903
500;5.7741761868004664e-09;142056;867
500;3.988230619885462e-08;140042;858
500;4.155404361714715e-08;146515;873
500;0;136666;827
500;9.173536789163736e-07;139742;856
500;0;156153;850
500;2.907303086874912e-06;143369;834
500;3.869747669942502e-06;136776;838
500;4.3238148245512704e-07;139502;854
500;8.629304081812283e-07;143900;898
500;0;142888;890
500;9.640422742189888e-07;142698;867
500;0;153367;861
500;2.620025720152842e-07;140894;860
500;8.574904947872992e-07;143479;899
500;3.2313961368503434e-07;141446;895
500;8.957723949093794e-07;139542;853
500;4.2253001504269243e-07;140964;865
500;1.1943094268983135e-05;152155;863
500;4.82650317088876e-06;157506;887
500;0;140463;851
500;2.4581387440355468e-06;139642;868
500;4.6454674936349834e-07;138379;860
500;5.812478842445786e-06;140213;886
500;5.411522065157265e-06;139121;863
500;8.713971845982919e-07;152325;860
500;0;141886;882
500;7.426142076853846e-07;173806;884
500;1.7187295617683188e-07;139661;848
500;0;140042;875
500;2.1208929022777275e-06;138620;837
500;0;158247;888
500;7.876746688428912e-07;139832;850
500;7.734563220377241e-07;140383;861
500;1.0556231930889226e-06;141585;880
500;2.7749744481176497e-07;136135;845
500;2.099847203107439e-06;138980;863
500;6.516127354567645e-06;149961;871
500;6.206523162077555e-06;136987;827
500;0;139903;875
500;0;139802;865
500;8.066337539325736e-06;141024;876
500;0;137749;850
500;4.5366908757613125e-06;142417;883
500;8.198115710339876e-06;154700;869
500;0;141616;865
500;0;137588;855
500;9.311742194027554e-07;141104;876
500;3.895638511857214e-06;137688;871
500;2.699099021626039e-06;136987;845
500;1.3917777550365965e-06;140453;868
500;0;142076;872
500;0;139782;851
500;0;142999;903
500;0;138039;853
500;2.683071347295754e-06;137508;858
500;1.5455743894280937e-07;140865;873
500;9.604110789972944e-07;158056;879
500;0;141164;865
