n;d;t;c
500;0.00021667966897620516;546715;7283
500;6.284486822771829e-06;517420;7283
500;4.399122567999569e-06;528421;7283
500;0.00023492006252356923;510848;7245
500;5.645858453551256e-05;528019;7242
500;8.03097931496577e-05;513102;7267
500;9.061743304955572e-05;589284;7283
500;0.00014676108942879296;513593;7242
500;4.792637588091342e-05;553264;7251
500;0.00013186389700364787;682570;7220
500;2.1519233690980855e-05;615413;7241
500;2.991667321861069e-05;526237;7245
500;4.0554807047010755e-06;525575;7249
500;9.039232266805364e-06;508904;7220
500;0;527859;7283
500;3.08065127143653e-05;510247;7241
500;1.4874748210047528e-05;516328;7283
500;5.576677819107978e-05;573805;7241
500;0.00014755230239926753;508944;7245
500;0.00016491732410361948;525846;7283
500;0.00010428435506537603;519714;7228
500;0.00010132088204206635;526237;7283
500;0.000126133942471518;511869;7237
500;0.0002003537628263441;523992;7250
500;8.653002381953101e-05;540694;7283
500;0.00019705719366791552;589324;7242
500;0;872962;7220
500;9.952837374371803e-05;524593;7249
500;8.184326492238769e-05;532207;7233
500;2.0671257218107808e-05;538049;7249
500;3.303608009463943e-05;511880;7228
500;4.1381799239514905e-06;546534;7228
500;8.531958561541764e-06;511369;7220
500;0.00010219788207421754;577433;7283
500;3.5616130075744046e-05;513632;7283
500;1.9302905298890227e-05;536906;7283
500;0.0001805601734818918;515156;7237
500;7.144801226122155e-05;529422;7283
500;1.1674496382396704e-05;510196;7241
500;8.90649552013345e-05;529162;7251
500;0.00013259940666771053;508393;7233
500;0.00010540963961269689;514574;7242
500;1.8178594048678942e-05;803717;7283
500;9.676330749214257e-05;522410;7241
500;8.748272859648853e-05;572003;7241
500;4.277180392087132e-06;543028;7283
500;0.00010439342103840676;509295;7241
500;9.157974565121574e-05;523752;7265
500;8.122593296300273e-06;506780;7220
500;0.00014006273169409056;521277;7250
500;0.00020708226152876819;512821;7265
500;1.1394864006697425e-05;521568;7220
500;2.7456193572528154e-05;510196;7250
500;1.5336208388339045e-05;524553;7283
500;7.197821699855833e-05;511639;7267
500;0.00010205657150158531;519754;7241
500;0.00017510207201659744;509445;7241
500;1.1593545088284252e-05;538139;7283
500;4.4677613023402785e-05;809949;7245
500;6.437894095945307e-05;509956;7241
500;0.00012175650791657056;536376;7283
500;0.00010087734930908088;555982;7283
500;0.0001027976018147525;532388;7283
500;2.104894714960448e-05;509816;7233
500;4.915847133035722e-05;523641;7233
500;7.838822315442417e-05;524383;7251
500;9.2902854414878e-05;510226;7283
500;2.5431407677523055e-06;520315;7241
500;6.398135400598193e-06;509936;7283
500;0.00023464592989214106;522690;7249
500;1.1598364119902449e-05;505868;7233
500;2.3026568175543716e-06;554630;7256
500;5.147697900209636e-05;507762;7245
500;0.00029420942995939114;522920;7283
500;6.639059662216784e-05;836709;7283
500;0.00020596865598082603;512030;7242
500;9.067368166537637e-05;523672;7283
500;0.00011527762855811918;512350;7249
500;0.00010123952500395994;524794;7283
500;2.0918192055963125e-05;517110;7241
500;0.0003746856994110148;535805;7250
500;5.379309305386659e-05;510768;7242
500;6.0866735535902716e-05;523401;7283
500;0.00010354156098624223;523532;7283
500;8.436352165885896e-05;512991;7283
500;5.194240782374626e-05;524794;7283
500;0.0002474175788071964;504646;7220
500;0.0002322391530502066;521919;7237
500;0.0001306508090092029;520396;7251
500;3.034538307444823e-05;524333;7251
500;6.105304342318707e-05;716438;7241
500;0.0003128021347637011;617748;7251
500;5.6318267072086314e-05;593142;7249
500;8.19011527959379e-05;518032;7283
500;0.00011438074750147464;527599;7283
500;1.7897218160700668e-05;512751;7283
500;0;524623;7241
500;3.2579376410546423e-05;527940;7283
500;1.9056893653779383e-05;555662;7267
500;3.2205620045355765e-05;507852;7242
500;4.8644480192039374e-05;524734;7242
500;8.542698368646517e-05;540774;7220
500;0.0001141536731752435;508403;7233
500;3.438341667072464e-05;524603;7283
500;5.6563226142891665e-05;511640;7283
500;0.00024391629308589957;524733;7233
500;0.0001145215019801582;692738;7283
500;1.4094154771326917e-05;650345;7228
500;0.00013658027295310182;536816;7251
500;0.00018123268760328326;513162;7283
500;0.00010330364215327403;528972;7241
500;2.282052860347328e-06;513863;7242
500;9.721082664965186e-05;536445;7249
500;4.222550397470215e-05;506559;7220
500;9.65743630714222e-05;527038;7256
500;1.6117391352765686e-05;560511;7283
500;2.4827219235468156e-05;530434;7242
500;3.363036320475077e-05;546094;7283
500;0.00036144297158557936;521026;7249
500;3.833931853403083e-05;531807;7241
500;0.00016640941459888925;547797;7283
500;0.0002798593112670611;539612;7283
500;4.182391505413996e-05;594565;7241
500;0.00016276741530163452;1090195;7249
500;5.4595885911168374e-05;533239;7220
500;5.774679404990657e-06;546003;7266
500;1.5158263135806038e-06;517590;7249
500;0.00016515970903796529;548809;7266
500;0.00011987473517149905;514835;7242
500;0.00016221364406332484;540103;7283
500;8.667117181293538e-05;511639;7283
500;3.4644495315983015e-05;532798;7241
500;4.143272047929525e-05;537668;7237
500;5.753232862065749e-05;534062;7283
500;0.0001016317776033615;541225;7283
500;6.9941856002952996e-06;506740;7233
500;6.041783939259027e-07;539812;7228
500;0.00010687849962798257;532188;7241
500;1.8305025027864907e-05;540663;7283
500;6.729321986115311e-05;957585;7283
500;6.961761040547021e-05;575599;7249
500;0.00011652238019288497;548217;7249
500;0.00010602890163191603;511760;7237
500;3.820067421667073e-05;536055;7283
500;0.00014823991385798374;547927;7266
500;0.00013802715475697003;511149;7267
500;0.00012360664301325208;618460;7283
500;3.755464174093337e-05;516128;7283
500;0.00011218189112960353;533069;7266
500;0.00014694270237453066;530595;7241
500;7.230651910616892e-05;556143;7283
500;0.00013950699373310727;511499;7251
500;0.00013123596482145228;529563;7237
500;0.00013769803205221365;513452;7256
500;2.2834558515372194e-05;509034;7241
500;0.00010229737537359451;885030;7241
500;3.056062191919562e-05;514504;7283
500;1.615463602022693e-05;524663;7256
500;6.842208193169608e-05;527369;7283
500;4.356187300091907e-05;512632;7283
500;6.0932213851727646e-06;536535;7283
500;0.00015996709974119838;510207;7245
500;3.604520300309888e-05;539382;7267
500;0.0001982974813901639;509365;7242
500;1.718360264324481e-05;530194;7283
500;2.6482313253417544e-06;507261;7237
500;0.000261606332008002;526607;7228
500;6.646448632541269e-05;536075;7249
500;9.965043875592716e-05;527880;7267
500;1.1369069519595598e-05;513503;7283
500;6.4388072318899425e-06;536596;7266
500;4.0748698820092244e-05;824846;7265
500;1.3798732170444694e-05;513873;7283
500;7.158446318378253e-06;538225;7245
500;3.3026391996426874e-05;510637;7256
500;0.00026325984749631104;549080;7241
500;5.466521684016623e-05;558607;7265
500;0.00014261374341284494;508002;7245
500;0.00016446524999491619;527689;7283
500;0.00010382584395807193;507962;7256
500;0.00016615471433889528;526457;7241
500;3.418867419857641e-05;507832;7237
500;0.00012298923897918757;527429;7283
500;7.996110022168157e-05;509885;7250
500;1.8680917215796455e-05;524894;7283
500;3.339587778872222e-05;544421;7233
500;0.00028549395367555297;548218;7242
500;0;795301;7233
500;5.3375855697535e-06;512401;7267
500;3.968105408458378e-05;531256;7283
500;5.439260486139741e-05;511308;7241
500;6.200613388956944e-05;536927;7237
500;7.959123365330889e-05;513092;7283
500;0.00011026242882733461;522229;7233
500;4.891481427404809e-06;526608;7242
500;2.5601230656535634e-06;505778;7242
500;0.00020180317644913348;525575;7283
500;0.0001760491801446884;519554;7251
500;4.323852057946942e-05;530334;7283
500;0.00029366802005026393;508343;7241
500;9.687979493855359e-06;525716;7283
500;0.00033401186168008357;509395;7241
500;0.00011263234713299042;526016;7267
500;4.6979512376310595e-05;759499;7283
500;7.707809283608036e-05;675870;7283
500;0.0001983462919284973;588390;7265
500;2.2830517156235963e-06;538199;7233
500;7.262013571718295e-05;526497;7250
500;0.0006366679136078357;531436;7237
500;3.1120353771729725e-07;510778;7283
500;2.7577030820791215e-05;523160;7241
500;9.030295595668925e-05;512681;7283
500;4.126389217606885e-05;533981;7265
500;0.00012556736594859785;515827;7283
500;5.4091364911468265e-05;534842;7283
500;0.00017385957399979057;518632;7267
500;0.00011438733180108018;532528;7283
500;4.633212438032164e-05;514244;7265
500;6.105074416484779e-05;528451;7251
500;6.50436934381271e-05;509826;7245
500;1.3593331172900847e-05;864611;7241
500;0.00032477828106403095;522719;7251
500;4.4840879018848145e-05;509084;7251
500;9.464600184150296e-05;524984;7237
500;3.7976300053976786e-05;519143;7237
500;6.589869011341953e-05;550602;7283
500;3.460080318262726e-06;523100;7249
500;0.00016249275987445522;512771;7283
500;6.846205727661925e-05;520075;7228
500;5.976563101373067e-05;508554;7251
500;7.992820058272398e-05;540943;7220
