n;d;t;c
500;0.0009609216203206845;440145;3571
500;0.0013150436219999825;462787;4026
500;0.0008883251850540402;398628;3372
500;0.0004539478470864188;408666;3648
500;0.0011308736035780585;382928;3203
500;0.002526447443645508;448821;4121
500;0.0017650873589774147;377889;3264
500;0.0012243486119035193;421470;3569
500;0.0012371960257383382;400050;3519
500;0.0020772542519196615;438152;3781
500;0.0012119021816262906;418224;3737
500;0.0018590941251146592;434355;3768
500;0.0012783684860545905;352672;2958
500;0.0005187705497633233;409047;3662
500;0.0002915480438807338;658565;3612
500;0.0009215879240766865;420939;3586
500;0.00027922980066224666;407424;3605
500;0.0012217921879374043;429114;3862
500;0.0010273157848144975;463338;3957
500;0.0010643008249401078;482505;4059
500;0.0005723157967343731;446958;3525
500;0.0012660196934032397;423594;3793
500;0.0005752887807902435;396463;3375
500;0.0009325497045913334;379572;3345
500;0.0004010807085437547;388078;3470
500;0.001236847485722782;395422;3486
500;0.0013204592303720309;423915;3817
500;0.0004204182753736953;383880;3251
500;0.0010780815915654102;407233;3634
500;0.0006746132168364186;434675;3624
500;0.000941922932146532;430988;3900
500;0.0014632479437931877;401403;3268
500;0.0015475439479080096;435367;3789
500;0.0005742061595637937;411021;3679
500;0.002527143362890385;433863;3768
500;0.00047438307095679045;424436;3858
500;0.0009195921424091517;400241;3407
500;0.0005624464168804922;381204;3343
500;0.0009064099254168604;360686;3145
500;0.0012672337867989036;441798;3829
500;0.0024024583214656984;411842;3682
500;0.0008630247871906104;448160;3550
500;0.00043298606484851106;404719;3499
500;0.002153238621023601;484659;3830
500;0.0013934185845708273;424967;3560
500;0.0008831562055918531;456305;3722
500;0.000746045564543149;706334;3647
500;0.0005130736010673557;423784;3533
500;0.00031265056493627775;462337;4173
500;0.0015240175082442877;452248;3937
500;0.0014178172015330273;382958;3302
500;0.00035579403143191007;402535;3589
500;0.00046929399934518106;408917;3528
500;0.0008321240687818079;392015;3362
500;0.002373362481754211;456225;3770
500;0.0007980672626537243;421991;3812
500;0.0001165381045671706;436789;3814
500;0.0009025178796904634;397104;3534
500;7.279880296330631e-05;459943;3715
500;0.0006570408431927638;429655;3604
500;0.0008624078803304606;422282;3806
500;0.0020095032203359406;422743;3684
500;0.0010711647362194796;410901;3676
500;0.001889983160448697;456285;3740
500;0.0008837857586849306;436699;3945
500;0.000105427943739814;442740;3783
500;0.0013528357660687223;374281;3258
500;0.0009608585651008273;395893;3537
500;0.0008539594164086042;446988;3792
500;0.0003835427727834971;390172;3485
500;0.0018147165766245928;428884;3750
500;0.0005228071242165487;396192;3522
500;0.001269116719228853;411441;3717
500;0.002169602379653884;407244;3636
500;0.0013990855133054075;437480;3992
500;0.0010967589273896724;416711;3603
500;0.0011041171211241658;427131;3868
500;0.0017819262132406587;394019;3360
500;0.0006121504854142765;556303;2823
500;0.001683156562635227;412774;3479
500;0.0011768100017504187;419396;3777
500;0.002778802696812604;478507;4019
500;0.0013580214098168014;357290;3100
500;0.0016609805142326708;392355;3492
500;0.0014769164977424282;440325;3845
500;0.0012686690307388809;462107;4111
500;0.0005290211938818498;472365;3846
500;0.001197364949207602;414707;3708
500;0.0018858526523460666;450174;3633
500;0.0005901847129274018;447789;4003
500;0.00048505601025444187;410339;3666
500;0.002064953300793163;402625;3573
500;0.0005817760686112223;413405;3726
500;0.0021075511955386244;442139;3835
