n;d;t;c
500;1.3752387119203568e-05;574116;6397
500;0.00014155157752571146;483336;6550
500;0.00044715677572537693;498294;6477
500;0.00029615024159135306;476383;6429
500;0.00014409770362577845;676488;6516
500;0.00012299111856983735;630963;6291
500;9.740501188315598e-05;495659;6537
500;0.0004572005077999597;488736;6391
500;0.000374553670925426;482345;6543
500;0.0001720464986816328;503984;6383
500;0.0005501153275910831;519544;6456
500;1.4686329105617624e-05;482775;6282
500;0.00013107916799059982;555270;6413
500;2.9539202526462915e-05;508543;6334
500;0.00010981251201225284;464901;6264
500;0.0005027354286855079;501580;6438
500;0.0004840855199492733;476313;6303
500;0.00017282663123618924;517089;6506
500;9.121134735934344e-05;482434;6365
500;9.146091395462186e-06;505708;6418
500;0.0003113853552538792;504486;6446
500;0.00012693357353321666;544971;6402
500;6.865104774433917e-05;546755;6307
500;0.000374664804379643;880841;6239
500;0.00011776853836031886;539652;6640
500;0.0004015896506707195;493005;6492
500;3.70451457610832e-05;496570;6552
500;0.00024724017107913276;482454;6274
500;4.032976316437065e-05;500739;6441
500;0.00016283985576137638;494146;6449
500;0.00010659086845932197;461014;6161
500;0.00010654382318198152;482595;6233
500;1.0991401718785099e-05;472666;6452
500;0.0004736857731398869;501501;6604
500;0.0001943159204123024;463228;6279
500;7.055381911491576e-05;486462;6364
500;8.719146391622523e-05;464791;6231
500;0.00015729189710489422;589300;6435
500;0.00019503839150702973;485871;6349
500;5.50445927075538e-05;516147;6612
500;5.038397452850063e-05;483356;6490
500;6.730041824698496e-05;866834;6332
500;0.00014469433284547417;572669;6458
500;0.0002359905909570248;492203;6431
500;0.00033290987263745464;490369;6389
500;3.844839158262392e-05;468078;6303
500;2.5858907889309002e-05;494798;6543
500;0.00024093069572539427;511810;6547
500;8.95377505518713e-05;493766;6402
500;0.0005614611966764382;475913;6371
500;0.0001377030534628343;495549;6493
500;0.00027192697698363855;461365;6258
500;0.00015845228514665965;493856;6443
500;0.0008664919123541059;472726;6332
500;6.254586885479085e-05;496511;6493
500;0.0003293576408768262;480791;6526
500;8.692769877449713e-05;536626;6426
500;0.0001782382353491263;469700;6351
500;0.00010665421066724523;517631;6495
500;0.0008020252949374473;692664;6390
500;5.274985618308747e-06;637340;6377
500;5.972095069484151e-05;494763;6382
500;8.545925638381302e-05;467958;6353
500;0.00026571359044991194;496240;6504
500;0.0008969685019785123;478116;6520
500;0.0001462203908917381;483186;6325
500;0.00010091963307201635;506770;6270
500;0.00024329350626584034;516408;6431
500;0.0006817714806017783;483156;6345
500;0.00014564631401048356;483417;6262
500;4.576935226374701e-05;482685;6477
500;0.0005418642916236172;512250;6665
500;3.4635492276668955e-05;479148;6499
500;0.00012467730438836533;497743;6524
500;0.00033097618741972923;482785;6482
500;3.5422845545474146e-05;478097;6252
500;0.0002982547375900424;473518;6364
500;0.00012295759102898263;496932;6554
500;0.00017257910388601694;927037;6393
500;0.0005714715010413096;530464;6409
500;2.259015013161836e-05;527975;6557
500;0.0006969590049585861;475732;6469
500;9.089453599253616e-05;515697;6358
500;9.759695772137977e-05;488706;6649
500;2.049316359964415e-05;530675;6423
500;1.1925607923402026e-07;481392;6411
500;0.00014798260640647154;480631;6304
500;9.384090965303127e-05;491562;6519
500;3.269774270120429e-06;518362;6555
500;0.00016251530228306166;464401;6352
500;0.0005409748103119005;525896;6252
500;0.00011116421719592484;490279;6398
500;0.00020482018877665542;514485;6582
500;0.0005345717997370381;490329;6512
500;0.0002754946928615887;500187;6509
500;0.0002735719639166412;474871;6431
500;6.471230729476751e-05;824190;6230
500;2.6101165578440444e-05;516508;6376
500;0.0002827524352264632;486903;6572
500;5.173203135078186e-05;498135;6435
500;2.571565333897574e-06;479760;6512
500;0.00019467533102013324;485099;6430
500;5.540823965977104e-06;469901;6364
500;0.00024742226003537926;508403;6607
