n;d;t;c
500;0.0007427517033739082;553688;4922
500;0.000520545793792699;558707;5086
500;0.0013439226283752622;516809;4821
500;0.0015395450584348277;615444;4942
500;0.00103827000829052;530254;4767
500;0.0019768226205341337;492704;4587
500;0.0007024447003560384;540674;4770
500;0.0015069888085668067;536586;5058
500;0.000992933214872017;616098;4702
500;0.0005337723371949157;545964;4945
500;0.00017966989591628534;544827;4646
500;0.001956536514599396;571331;5194
500;0.0015102444363589516;547647;5105
500;0.001058648435591263;497994;4394
500;0.0013525441854084553;554930;5262
500;0.0008671252793563556;827702;4746
500;0.0009823168464996423;478868;4439
500;0.0010424390246836386;529783;4971
500;0.0013670128248386992;541516;4974
500;0.0006363608260706985;520135;4862
500;0.000835141176077257;556713;4714
500;0.002238600458151348;600266;4995
500;0.0006449782061019883;596649;5451
500;0.0010732818033985358;514675;4803
500;0.001143756140175993;486532;4337
500;0.0012633927379039555;528651;4944
500;0.0008964466239334484;450935;3973
500;0.0014497026031033253;509124;4625
500;0.0012587385943256496;523882;4719
500;0.0006058661853046303;582563;5051
500;0.0003475227400554712;477155;4365
500;0.0006429565688015629;497814;4499
500;0.0009913213876516474;483196;4486
500;0.0010483848911572748;509225;4607
500;0.0015343664835228957;552586;5252
500;0.0007458405694105675;521407;4629
500;0.0008233937197908417;506389;4591
500;0.0010455935720306065;542547;4436
500;0.0014396596496771162;569077;4843
500;0.0015766975720165092;589064;4966
500;0.0007586544849556649;756778;4337
500;0.0003057762717235948;461605;4218
500;0.0015621485158211872;512211;4640
500;0.0008834684036314405;513182;4815
500;0.00020058962967881228;521878;4738
500;0.0016292145585157934;544621;5011
500;0.002064502288894333;510918;4607
500;0.0013160139065448502;556213;4912
500;0.0019648387672602814;561683;5185
500;0.0002829486730030406;443952;4045
500;0.0006634456097245913;547607;5027
500;0.0005548887686885677;537077;4913
500;0.0005054975927022308;512831;4794
500;0.0008022167919447783;504035;4554
500;0.0003693551126949341;509806;4782
500;0.0009993359407633163;539721;4959
500;0.0009696895314474587;537337;4870
500;0.0004784717774426393;505357;4086
500;0.0014292695493452535;494076;4604
500;0.000634116774362895;546134;5024
500;0.00039544126879705917;482816;4450
500;0.0010203076484132747;493956;4460
500;0.0003970809942930061;478076;4426
500;0.0009810277395838848;509596;4598
500;0.000371983326936663;476653;4261
500;0.0013258190880318136;804198;4572
500;0.0013438492936402742;538229;4931
500;0.002462816119942583;530594;5006
500;0.0007331408624099222;533610;4902
500;0.00031374096435455657;461035;4196
500;0.000653474910201392;501530;4540
500;0.00043322952468878036;502302;4394
500;0.0015634629245593018;559188;5018
500;0.0001561974926968363;453721;4141
500;0.0017533520644975428;569738;5266
500;0.00020078590270657695;447099;4080
500;0.0007044883145417099;513933;4503
500;0.0012195840171858377;507140;4719
500;0.001202904295798649;481743;4333
500;0.00039247633735760057;552746;5180
500;0.001394057288538903;550071;4751
500;0.0008260568269839815;600826;4925
500;0.0017884348549793707;550081;5109
500;0.0005749606613686917;505278;4553
500;0.0008556207542733845;533500;4843
500;0.00044237069718167056;578355;4943
500;0.00140928792533572;553918;5137
500;0.0010537773562537948;516498;4275
500;0.000976738383237757;501870;4683
500;0.000318712917868744;482224;4233
500;0.0015733650057074367;939061;4826
500;0.0008618980232126803;497883;4551
500;0.0008125171344736812;510597;4389
500;0.0007044864094899333;551764;5146
500;0.0008809849436680135;599353;4228
500;0.0012702855881429054;576430;4298
500;0.0017451277328679735;643316;5117
500;0.0014777298769625;585157;5148
500;0.0019372878862655982;487865;4507
500;0.0017425315566956699;527849;4770
500;0.0013266602804115812;495799;4494
500;0.0001963781641306821;502062;4452
500;0.0007035809669723082;500999;4657
500;0.000550307312286517;476634;4168
500;0.0010427412612106174;574327;4882
500;0.0011938805031910219;533671;5008
500;0.0008592972388756154;462307;4071
500;0.0021519629735485767;539080;4986
500;0.00035032990432327216;523942;4696
