n;d;t;c
500;3.045662927936288e-05;544180;7245
500;0.00014480242987913172;536105;7266
500;0.00012737357821179796;519414;7283
500;0.00020907598024078045;525846;7220
500;0.0002926807036381929;514574;7283
500;0.00022204549871474022;538550;7256
500;0.0007147920310580647;522309;7283
500;0.00015304578294350613;852934;7266
500;7.250480668963277e-06;668534;7241
500;0.0003325349700707969;531436;7265
500;8.107688233183197e-05;508593;7283
500;2.3355177698802798e-05;525956;7266
500;0.00013897001523921482;509675;7267
500;0.0004058932323316444;527378;7283
500;0.00010327405378607324;506269;7220
500;9.21575083935311e-05;526377;7267
500;0.00019790422070875557;522830;7241
500;0.00032215136732327565;575159;7283
500;0.00010010923212366851;508884;7237
500;0.00016529154616840014;528411;7242
500;0.0001057491049556436;513603;7241
500;5.313130601913851e-05;529122;7249
500;7.384667981358284e-05;592911;7266
500;3.749691841026248e-06;845520;7256
500;1.486145054463428e-06;551845;7283
500;3.80580318863899e-05;524483;7265
500;4.240125818233409e-05;557025;7283
500;0.00020660378076831076;526337;7256
500;0.0002454849692454797;511539;7283
500;2.641340154485583e-06;519344;7233
500;0.00028845612953154465;507732;7245
500;0.00018537118801031927;521899;7237
500;0.00019888519572985874;509295;7249
500;0.00022319809957649372;527118;7283
500;0.0001179675288209836;510457;7283
500;0.00014102619811573458;524663;7256
500;9.337735444259199e-05;513793;7283
500;2.872125558495142e-07;543569;7267
500;5.7444212388180205e-05;521528;7237
500;0.0001436908033218831;823775;7283
500;2.701455957565546e-05;537759;7256
500;0.00029999557967863577;536997;7283
500;4.750105213735534e-05;509405;7249
500;0.00039113443745841803;542597;7283
500;4.485963852551844e-05;520405;7241
500;0.00011779414085943962;520646;7249
500;0.00020417883936052483;511188;7249
500;0.0011344410752220924;534351;7267
500;6.818634043270766e-05;511599;7265
500;0.0005331094600184993;523762;7267
500;0.00017643506412656773;508544;7251
500;4.569500126894166e-05;527269;7283
500;3.92658805090651e-05;508302;7237
500;0.0003006978441540964;576571;7237
500;3.1906375289825206e-05;575299;7283
500;7.427930792525128e-05;600997;7249
500;0.00026289249714928076;698220;7249
500;1.2136549628949389e-05;506409;7245
500;0.0003852066103197105;509826;7237
500;2.953347678458229e-05;522951;7245
500;5.12655928840422e-05;511899;7283
500;0.00023773400660731525;529393;7249
500;0.0001422516136403429;543860;7228
500;0.0005549964364781612;523241;7242
500;4.052122475362019e-05;510006;7256
500;6.49781839087149e-05;535354;7245
500;2.7575153622394488e-05;509094;7242
500;0.00018334875077574697;530164;7267
500;3.617214035800398e-05;510757;7256
500;0.00023021665648692569;529663;7242
500;0.00025802395335539074;510708;7256
500;0.00018561188749910418;574707;7283
500;0.0001355982580991677;956123;7242
500;0.0002812676018378868;531416;7241
500;2.7475240635621567e-05;512671;7283
500;0.0001286347228464102;535253;7283
500;0.0004489857560209254;510366;7233
500;0.0002581990832820624;563056;7266
500;6.984973962909091e-05;511188;7228
500;4.254920258350836e-05;538249;7283
500;3.561178990696412e-06;527860;7283
500;0.00017932566740530564;539071;7283
500;0.00012225622939210368;596198;7241
500;0.00028450107766619936;597630;7237
500;0.00012711893408179353;579817;7241
500;6.690213611748597e-05;523201;7241
500;0.00025511036209335813;613540;7250
500;4.159319316276999e-05;532268;7233
500;0.0001880918941224996;1097272;7241
500;5.309121545282736e-06;527098;7228
500;0.00039464503516417615;610134;7283
500;2.105564387167025e-05;513403;7250
500;9.083408150811767e-05;552832;7250
500;0.00015733829139819022;519303;7283
500;0.0001480466335632702;529923;7233
500;0.00013583110702486412;622948;7283
500;6.741029232304463e-05;561283;7250
500;0.00035222277300339666;561532;7283
500;6.11205635029366e-05;529983;7249
500;0.00044760127169973796;533480;7283
500;6.665681753370567e-05;515276;7283
500;3.859008941398123e-06;529983;7266
500;0.00018778346971903837;513613;7241
500;0.0003039517149365789;528701;7283
500;0.0003504015655658721;925485;7283
500;1.8035365956237115e-07;512270;7265
500;0.00019382505119380777;550993;7283
500;2.899645275311613e-05;537709;7283
500;1.5802751235582946e-05;506810;7249
500;8.335208057097532e-08;544030;7228
500;0.00010327609274807248;509435;7250
500;0.0002926646107128672;550662;7233
500;0.00014977432012164282;514404;7283
500;0.0002924558503764052;537718;7220
500;0.000270806163613746;656781;7283
500;0.000432569618103229;526046;7242
500;0.0001584115874301295;531987;7267
500;2.8972598112519954e-05;512701;7283
500;2.9898880108847337e-05;593232;7266
500;1.1065536781762475e-05;532308;7283
500;0.00012749293548675045;853539;7250
500;0.00020746589642495206;569658;7256
500;0.0002434109225409875;509535;7241
500;5.344723838829335e-05;536622;7265
500;0.0009412651957569906;511519;7250
500;1.934068915432352e-05;526717;7283
500;0.0004203349516965771;509094;7267
500;6.80590262730485e-05;528390;7283
500;0.00016798995712685727;512271;7283
500;1.6430140459489095e-05;522359;7242
500;3.9917205281514434e-05;527449;7267
500;0.00030995564769153994;569027;7251
500;3.173590373639623e-05;527128;7233
500;4.151160794874098e-05;506139;7228
