n;d;t;c
500;0.0011803800849727723;799990;4677
500;0.0010171062019941667;676939;4343
500;0.0013785010256021166;545042;4207
500;0.000507864358215735;500668;4249
500;0.0007052375335860044;521678;4790
500;0.0009221312762194451;571852;4900
500;0.000658911422910793;596157;5043
500;0.000357201540740478;506490;4354
500;0.0010527361982174842;603341;4949
500;0.0004729224749510577;843727;4177
500;0.000881567661458643;518772;4700
500;0.000491494551883049;576109;5141
500;0.0016160839515838355;513032;4705
500;0.0009437991892716986;551324;4915
500;0.0005879201366938538;447569;3998
500;0.0013207204203477874;536976;4708
500;0.0008021137943419421;527850;4952
500;0.0016355535247692269;551954;4853
500;0.000925501644789191;564549;4265
500;0.0017992428878287107;689112;4618
500;0.0017905645038271728;776366;5085
500;0.00030299811429964366;697959;4877
500;0.0018814505135776242;590066;5474
500;0.0008287216174427065;517410;4638
500;0.0011890446354597777;581901;4564
500;0.0006872570034303342;597721;5092
500;0.001280729194422426;571021;5216
500;0.0016999008393528774;494196;4570
500;0.0016028970557441934;505718;4376
500;0.00014550177518323274;478347;4411
500;0.000840109960031038;540313;4961
500;0.0005383860591851689;553077;5130
500;0.000978044846614363;539441;4511
500;0.0010783334093875001;597881;5005
500;0.0014342411029151438;1022052;5378
500;0.001792481480803803;569666;5025
500;0.0008828440752683518;479869;4246
500;0.0012236628954716165;554740;4973
500;0.0007605056002041474;488906;4238
500;0.0008039151030335797;488797;4333
500;0.0008967719731603864;496440;4302
500;0.00211453851849316;538019;5038
500;0.0004030876636944121;568546;4376
500;0.0005076475590652152;499436;4626
500;0.0011607509786164228;597991;4816
500;0.00097725629220956;479128;4416
500;0.0023275993028383565;545262;4934
500;0.0011935245140755042;473518;4289
500;0.0013427632588876549;534833;4779
500;0.0005687314289593941;533810;4619
500;0.001021287302018328;503234;4398
500;0.0013466159839944035;693591;5155
500;0.0016378803009141217;603902;5334
500;0.00026251855228962825;502983;4378
500;0.0010924097140228037;533550;4884
500;0.0006474835832242608;493015;4109
500;0.0016229803196330483;561834;4433
500;0.0005703481086827679;692208;4452
500;0.0017063020277405547;727064;5376
500;0.0016288596986783544;952586;4850
500;0.0005394020870535542;503073;4261
500;0.001513053759162879;603862;4462
500;0.001210569601664629;619041;4397
500;0.0009397818634948906;670587;5060
500;0.0005144154068881742;654667;5032
500;0.0014080799686581318;526798;4679
500;0.0007335844611707174;481212;4209
500;0.002526298026354371;689783;5106
500;0.00027335658569267783;530043;4264
500;0.0010245899130434206;567975;5071
500;0.001444143898446966;499066;4500
500;0.0007528958897329591;598122;4700
500;0.0001392822340091003;567634;4641
500;0.001032436337631871;471764;4274
500;0.0004385312442790747;504897;4303
500;0.0008981672888978072;534342;4990
500;0.000453943668632919;719118;4242
500;0.0016184881646484801;693539;4940
500;0.0006682331521944255;582022;4624
500;0.0005955058604067527;535925;4656
500;0.0007502495206145382;752701;5249
500;0.0008340361824820322;581570;4250
500;0.0006652730316143909;572694;3952
500;0.0010496449496337973;538028;4523
500;0.0008221311181904308;1435541;4562
500;0.0023037588531517363;660929;5020
500;0.0011115446286322956;635952;4943
500;0.000997493843389208;603922;4645
500;0.0007418646684171339;583073;4698
500;0.000346673026436716;557054;4230
500;0.0004690168529305672;568696;4823
500;0.0019980320715526855;597360;5149
500;0.0010019845434537874;608902;4686
500;0.001420295156445906;532158;4711
500;0.000553901253300137;498555;3920
500;0.00022630099741035382;467026;4122
500;0.0007677523679925946;566672;4590
500;0.0005132550168495706;474790;4294
500;0.0013224906216898651;636714;4901
500;0.001637284837315327;755977;4679
500;0.0018357820589404272;578655;4768
500;0.0014066275381822437;629270;4503
500;0.001064374076384273;490810;3960
500;0.000401942836169293;596899;4361
500;0.00147807299424507;501500;4477
500;0.0005564018267237966;453210;4112
500;0.0005560053375634804;527769;4464
500;0.0011081704841726238;617308;4485
500;0.0003772667783549498;753983;4653
500;0.0011178103138102134;540092;4635
500;0.001182409249093681;1656376;4792
500;0.0008623585958571977;579466;4589
500;0.0015449160541939528;489568;4428
500;0.0015388962977114116;526878;4734
500;0.0014849568725997726;492724;4172
500;0.0012125161517646304;479008;4166
500;0.0014385874238744564;525185;4891
500;0.0011589536839476616;545844;4919
500;0.00116673862067765;521919;4834
500;0.0008177415654051865;546255;4602
500;0.0014040569076404835;523952;4542
500;0.0007140728063276281;454883;4102
500;0.0018166832071493662;501410;4403
500;0.0015915249865644607;585047;5041
500;0.0005714496131966056;603432;4870
500;0.0009415896263024148;522259;4784
500;0.0012320773050718443;514534;4605
500;0.0022238098498063665;558026;5293
500;0.0006531361600111634;497342;4427
500;0.001288018861930919;477916;4388
500;0.0019210378414894298;514605;4582
500;0.002655595743449444;543509;5116
